"Paper","Total Citations","TC per Year"
"NAGATA JM, 2019, INT J EATING DISORD-a","0","0.0000"
"BISSET M, 2019, INT J EATING DISORD","0","0.0000"
"GRANT JE, 2019, INT J EATING DISORD","0","0.0000"
"CHAO AM, 2019, INT J EATING DISORD","0","0.0000"
"ROSEN EL, 2019, INT J EATING DISORD","0","0.0000"
"MURPHY TJ, 2019, INT J EATING DISORD","0","0.0000"
"FORBUSH KT, 2019, INT J EATING DISORD","0","0.0000"
"CHRISTENSEN KA, 2019, INT J EATING DISORD","0","0.0000"
"KIMBER M, 2019, INT J EATING DISORD","0","0.0000"
"IYAR MM, 2019, INT J EATING DISORD","0","0.0000"
"D'SOUZA WALSH K, 2019, INT J EATING DISORD","0","0.0000"
"EICHEN DM, 2019, INT J EATING DISORD","0","0.0000"
"YOON C, 2019, INT J EATING DISORD","0","0.0000"
"GEER B, 2019, INT J EATING DISORD","0","0.0000"
"MURATORE AF, 2019, INT J EATING DISORD","0","0.0000"
"FOWLER N, 2019, INT J EATING DISORD","0","0.0000"
"KOGA A, 2019, INT J EATING DISORD","0","0.0000"
"TYLKA TL, 2019, INT J EATING DISORD","0","0.0000"
"ORTIZ AML, 2019, INT J EATING DISORD","0","0.0000"
"DUGUÃ© R, 2019, INT J EATING DISORD","0","0.0000"
"WILKSCH SM, 2019, INT J EATING DISORD","0","0.0000"
"KENNY TE, 2019, INT J EATING DISORD","0","0.0000"
"GIEL KE, 2019, INT J EATING DISORD","0","0.0000"
"ACCURSO EC, 2019, INT J EATING DISORD","0","0.0000"
"NAUMANN E, 2019, INT J EATING DISORD","0","0.0000"
"FORREST LN, 2019, INT J EATING DISORD-a","0","0.0000"
"MACDONALD DE, 2019, INT J EATING DISORD","0","0.0000"
"PERKINS NM, 2019, INT J EATING DISORD","0","0.0000"
"HOCHGRAF AK, 2019, INT J EATING DISORD","0","0.0000"
"TANTILLO M, 2019, INT J EATING DISORD","0","0.0000"
"NUTLEY S, 2019, INT J EATING DISORD","0","0.0000"
"CORTÃ©S-GARCÃ­A L, 2019, INT J EATING DISORD","0","0.0000"
"PÃ¶TZSCH A, 2018, INT J EATING DISORD","0","0.0000"
"FURSLAND A, 2018, INT J EATING DISORD","0","0.0000"
"WEBB HJ, 2018, INT J EATING DISORD","0","0.0000"
"BOYD ED, 2018, INT J EATING DISORD","0","0.0000"
"KENNY TE, 2018, INT J EATING DISORD","0","0.0000"
"PHILLIPOU A, 2018, INT J EATING DISORD","0","0.0000"
"PRIOR KL, 2018, INT J EATING DISORD","0","0.0000"
"ZAYAS LV, 2018, INT J EATING DISORD","0","0.0000"
"JACOB L, 2018, INT J EATING DISORD","0","0.0000"
"FEUSNER J, 2018, INT J EATING DISORD","0","0.0000"
"COMPTE EJ, 2018, INT J EATING DISORD","0","0.0000"
"HILDEBRANDT T, 2018, INT J EATING DISORD","0","0.0000"
"DE YOUNG KP, 2018, INT J EATING DISORD","0","0.0000"
"DIEDRICHS PC, 2018, INT J EATING DISORD","0","0.0000"
"O'BRIEN A, 2018, INT J EATING DISORD","0","0.0000"
"LIMBURG K, 2018, INT J EATING DISORD","0","0.0000"
"GELLER J, 2018, INT J EATING DISORD","0","0.0000"
"MATINOLLI H-M, 2017, INT J EATING DISORD","0","0.0000"
"KANDEMIR N, 2017, INT J EATING DISORD","0","0.0000"
"WEISSMAN RS, 2017, INT J EATING DISORD-a","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 2017, INT J EATING DISORD","0","0.0000"
"WADE T, 2017, INT J EATING DISORD","0","0.0000"
"THOMAS JJ, 2017, INT J EATING DISORD","0","0.0000"
"KATZMAN DK, 2017, INT J EATING DISORD","0","0.0000"
"WEISSMAN RS, 2017, INT J EATING DISORD-a-b","0","0.0000"
"SIMIONI N, 2016, INT J EATING DISORD","0","0.0000"
"PACANOWSKI CR, 2016, INT J EATING DISORD","0","0.0000"
"REAS DL, 2016, INT J EATING DISORD-a","0","0.0000"
"GUARDA AS, 2016, INT J EATING DISORD","0","0.0000"
"LEWIS-SMITH H, 2016, INT J EATING DISORD","0","0.0000"
"WARD A, 2016, INT J EATING DISORD","0","0.0000"
"MEHLER P, 2016, INT J EATING DISORD","0","0.0000"
"MEHLER PS, 2016, INT J EATING DISORD","0","0.0000"
"WEISSMAN RS, 2016, INT J EATING DISORD-a","0","0.0000"
"BOACHIE A, 2015, INT J EATING DISORD","0","0.0000"
"PEDROLLI C, 2015, INT J EATING DISORD","0","0.0000"
"KLUMP K, 2014, INT J EATING DISORD","0","0.0000"
"PAULI-POTT U, 2014, INT J EATING DISORD","0","0.0000"
"VELLISCA MY, 2013, INT J EATING DISORD","0","0.0000"
"WALSH BT, 2013, INT J EATING DISORD","0","0.0000"
"RINGWOOD S, 2013, INT J EATING DISORD","0","0.0000"
"FALLON P, 2013, INT J EATING DISORD","0","0.0000"
"STRIEGEL RH, 2013, INT J EATING DISORD","0","0.0000"
"STRIEGEL RH, 2013, INT J EAT DISORD","0","0.0000"
"STRIEGEL RH, 2013, INT J EATING DISORD-a","0","0.0000"
"WALLER G, 2013, INT J EATING DISORD","0","0.0000"
"KLUMP K, 2013, INT J EATING DISORD","0","0.0000"
"STRIEGEL RH, 2013, INT J EATING DISORD-a-b","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 2013, INT J EATING DISORD","0","0.0000"
"TAKEI Y, 2012, INT J EATING DISORD","0","0.0000"
"STROBER M, 2012, INT J EAT DISORD","0","0.0000"
"GAUDIANI JL, 2011, INT J EATING DISORD","0","0.0000"
"STRIEGEL-MOORE RH, 2011, INT J EATING DISORD-a","0","0.0000"
"WALSH BT, 2010, INT J EATING DISORD","0","0.0000"
"AHN JY, 2007, INT J EATING DISORD","0","0.0000"
"STROBER M, 2006, INT J EATING DISORD-a","0","0.0000"
"EKLUND, 2006, INT J EATING DISORD","0","0.0000"
"STEIGER, 2005, INT J EATING DISORD","0","0.0000"
"MARCUS MD, 2005, INT J EATING DISORD","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 2003, INT J EAT DISORD","0","0.0000"
"STROBER M, 2003, INT J EATING DISORD","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 2003, INT J EATING DISORD","0","0.0000"
"BYRNE SM, 2002, INT J EATING DISORD","0","0.0000"
"KAHN, 2002, INT J EATING DISORD","0","0.0000"
"GELLER J, 2000, INT J EATING DISORD","0","0.0000"
"TANOFSKY-KRAFF M, 2000, INT J EATING DISORD","0","0.0000"
"WONDERLICH S, 2000, INT J EATING DISORD","0","0.0000"
"WONDERLICH S, 1999, INT J EATING DISORD","0","0.0000"
"OZAWA Y, 1999, INT J EATING DISORD","0","0.0000"
"MARCUS MD, 1999, INT J EATING DISORD","0","0.0000"
"MARCUS MD, 1998, INT J EATING DISORD","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 1994, INT J EATING DISORD","0","0.0000"
"STEIN A, 1994, INT J EATING DISORD","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 1993, INT J EAT DISORD","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 1993, INT J EATING DISORD","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 1993, INT J EATING DISORD-a","0","0.0000"
"HABERMAS T, 1993, INT J EATING DISORD","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 1993, INT J EATING DISORD-a-b","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 1993, INT J EAT DISORD-a","0","0.0000"
"SILVERMAN JA, 1992, INT J EATING DISORD","0","0.0000"
"STROBER M, 1992, INT J EATING DISORD","0","0.0000"
"GERACIOTI TD, 1992, INT J EATING DISORD","0","0.0000"
"TATTERSALL ML, 1992, INT J EATING DISORD","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 1990, INT J EATING DISORD","0","0.0000"
"HEILBRUN AB, 1990, INT J EATING DISORD","0","0.0000"
"FELDMAN J, 1990, INT J EATING DISORD","0","0.0000"
"JOHNSON C, 1990, INT J EATING DISORD","0","0.0000"
"LAPORTE DJ, 1990, INT J EATING DISORD-a","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 1988, INT J EATING DISORD","0","0.0000"
"GOODCHILD K, 1988, INT J EATING DISORD","0","0.0000"
"KAY GN, 1988, INT J EATING DISORD","0","0.0000"
"CYR JJ, 1988, INT J EATING DISORD","0","0.0000"
"NAKAI Y, 1988, INT J EATING DISORD","0","0.0000"
"CHRISTIANSEN KH, 1988, INT J EATING DISORD","0","0.0000"
"NORVELL N, 1988, INT J EATING DISORD","0","0.0000"
"GOLDMAN HE, 1988, INT J EATING DISORD","0","0.0000"
"SNYDER S, 1987, INT J EATING DISORD","0","0.0000"
"COLLINS JK, 1987, INT J EATING DISORD-a-b","0","0.0000"
"LENNON DLF, 1987, INT J EATING DISORD","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 1986, INT J EATING DISORD","0","0.0000"
"SCHWEITZER I, 1986, INT J EATING DISORD","0","0.0000"
"DE DENNIS SRK, 1986, INT J EATING DISORD","0","0.0000"
"ABRAMSON EE, 1985, INT J EATING DISORD","0","0.0000"
"VINCENT S, 1984, INT J EATING DISORD","0","0.0000"
"BOGGS WM, 1983, INT J EATING DISORD","0","0.0000"
"KATZ J, 1982, INT J EATING DISORD","0","0.0000"
"HASKEW P, 1982, INT J EATING DISORD","0","0.0000"
"[NO AUTHOR NAME AVAILABLE], 1982, INT J EATING DISORD","0","0.0000"
"WELLER RA, 1982, INT J EATING DISORD","0","0.0000"
"BIEHL SC, 2020, J EATING DISORD","0","0.0000"
"HOLMQVIST LARSSON K, 2020, J EATING DISORD","0","0.0000"
"SCHIENLE A, 2020, J EATING DISORD","0","0.0000"
"BAFFSKY R, 2020, J EATING DISORD","0","0.0000"
"SKARBÃ¸ T, 2020, J EATING DISORD","0","0.0000"
"COLLEDGE F, 2020, J EATING DISORD","0","0.0000"
"PURSEY KM, 2020, J EATING DISORD","0","0.0000"
"JOHANSSON A-K, 2020, J EATING DISORD","0","0.0000"
"HESSLER JB, 2020, J EATING DISORD","0","0.0000"
"LEWKE-BANDARA RS, 2020, J EATING DISORD","0","0.0000"
"COUTURIER J, 2020, J EATING DISORD","0","0.0000"
"CARMEN M, 2020, J EATING DISORD","0","0.0000"
"MERCADO D, 2020, J EATING DISORD","0","0.0000"
"TOUYZ S, 2020, J EATING DISORD","0","0.0000"
"CHABA L, 2019, J EATING DISORD","0","0.0000"
"DALLE GRAVE R, 2019, J EATING DISORD","0","0.0000"
"KILPELA LS, 2019, J EATING DISORD","0","0.0000"
"SFÃ¤RLEA A, 2019, J EATING DISORD","0","0.0000"
"ANAND P, 2019, J EATING DISORD","0","0.0000"
"NOLAN LJ, 2019, J EATING DISORD","0","0.0000"
"DIAS SANTANA D, 2019, J EATING DISORD","0","0.0000"
"ECKHARDT S, 2019, J EATING DISORD","0","0.0000"
"EBRAHIM M, 2019, J EATING DISORD","0","0.0000"
"ALBERTSEN MN, 2019, J EATING DISORD","0","0.0000"
"MCAULAY C, 2019, J EATING DISORD","0","0.0000"
"SILVERSTEIN LS, 2019, J EATING DISORD","0","0.0000"
"GOEBEL-FABBRI A, 2019, J EATING DISORD","0","0.0000"
"GRIFFITHS KR, 2019, J EATING DISORD","0","0.0000"
"MATTHEWS K, 2019, J EATING DISORD","0","0.0000"
"FUGLSET TS, 2019, J EATING DISORD","0","0.0000"
"WU Y, 2019, J EATING DISORD","0","0.0000"
"HESSLER JB, 2019, J EATING DISORD","0","0.0000"
"AMBWANI S, 2019, J EATING DISORD","0","0.0000"
"FORSÃ©N MANTILLA E, 2019, J EATING DISORD","0","0.0000"
"HALVORSEN I, 2019, J EATING DISORD","0","0.0000"
"WINKLER LA-D, 2019, J EATING DISORD","0","0.0000"
"DIMITROPOULOS G, 2019, J EATING DISORD","0","0.0000"
"HERADSTVEIT O, 2019, J EATING DISORD","0","0.0000"
"CHARLTON OA, 2019, J EATING DISORD","0","0.0000"
"METRAL M, 2018, J EATING DISORD","0","0.0000"
"COBB A, 2018, J EATING DISORD","0","0.0000"
"DAWSON L, 2018, J EATING DISORD","0","0.0000"
"BRATLAND-SANDA S, 2018, J EATING DISORD","0","0.0000"
"DIMITROPOULOS G, 2018, J EATING DISORD","0","0.0000"
"BAILES J, 2017, J EATING DISORD","0","0.0000"
"BURNS BD, 2017, J EATING DISORD","0","0.0000"
"SUKKAR I, 2017, J EATING DISORD","0","0.0000"
"WINJE E, 2017, J EATING DISORD","0","0.0000"
"BROWNLOW RS, 2016, J EATING DISORD","0","0.0000"
"HAY P, 2016, J EATING DISORD","0","0.0000"
"GREER S, 2016, J EATING DISORD","0","0.0000"
"TAKAKURA S, 2015, J EATING DISORD","0","0.0000"
"MATTHEWS Z, 2014, J EATING DISORD","0","0.0000"
"PURCELL J, 2014, J EATING DISORD","0","0.0000"
"HART L, 2014, J EATING DISORD","0","0.0000"
"CLARKE R, 2014, J EATING DISORD","0","0.0000"
"MYSLIWIEC R, 2014, J EATING DISORD","0","0.0000"
"LAVENDER K, 2014, J EATING DISORD","0","0.0000"
"SEAH E, 2014, J EATING DISORD","0","0.0000"
"WADE S, 2014, J EATING DISORD","0","0.0000"
"KRUG I, 2014, J EATING DISORD","0","0.0000"
"O'SULLIVAN U, 2014, J EATING DISORD","0","0.0000"
"MILLER L, 2014, J EATING DISORD","0","0.0000"
"SHU C, 2014, J EATING DISORD","0","0.0000"
"ALMAN J, 2014, J EATING DISORD","0","0.0000"
"DAMIANO SR, 2014, J EATING DISORD","0","0.0000"
"PEPIN G, 2014, J EATING DISORD","0","0.0000"
"HUGHES EK, 2014, J EATING DISORD","0","0.0000"
"GOODIER G, 2014, J EATING DISORD","0","0.0000"
"DAMIANO SR, 2014, J EATING DISORD-a","0","0.0000"
"SOON S, 2014, J EATING DISORD","0","0.0000"
"HENRY K, 2014, J EATING DISORD","0","0.0000"
"BELLAIR R, 2014, J EATING DISORD","0","0.0000"
"STOKES L, 2014, J EATING DISORD","0","0.0000"
"VARCOE L, 2014, J EATING DISORD","0","0.0000"
"WADE S, 2014, J EATING DISORD-a","0","0.0000"
"HART L, 2014, J EATING DISORD-a","0","0.0000"
"SMITH C, 2014, J EATING DISORD","0","0.0000"
"VALL E, 2014, J EATING DISORD","0","0.0000"
"DONKIN L, 2014, J EATING DISORD","0","0.0000"
"ZHANG Y, 2014, J EATING DISORD","0","0.0000"
"DIEDRICHS PC, 2014, J EATING DISORD","0","0.0000"
"HEWITT D, 2014, J EATING DISORD","0","0.0000"
"WOODWARD K, 2014, J EATING DISORD","0","0.0000"
"MEERS R, 2014, J EATING DISORD","0","0.0000"
"WILDMAN R, 2014, J EATING DISORD","0","0.0000"
"HURST K, 2014, J EATING DISORD","0","0.0000"
"DAWSON L, 2014, J EATING DISORD-a","0","0.0000"
"HILL S, 2014, J EATING DISORD","0","0.0000"
"LAWRENCE J, 2014, J EATING DISORD","0","0.0000"
"RUDOLPH S, 2014, J EATING DISORD","0","0.0000"
"MCLEAN SA, 2014, J EATING DISORD","0","0.0000"
"YOUNG S, 2014, J EATING DISORD","0","0.0000"
"BRONSON M, 2014, J EATING DISORD","0","0.0000"
"BLUMBERG J, 2014, J EATING DISORD","0","0.0000"
"CHAN MY, 2014, J EATING DISORD","0","0.0000"
"HAMILTON M, 2014, J EATING DISORD","0","0.0000"
"CHASE K, 2014, J EATING DISORD","0","0.0000"
"YIU M, 2014, J EATING DISORD","0","0.0000"
"HERBERT L, 2014, J EATING DISORD","0","0.0000"
"HOLTHAM T, 2014, J EATING DISORD","0","0.0000"
"RAYKOS B, 2014, J EATING DISORD","0","0.0000"
"WINTEN L, 2014, J EATING DISORD","0","0.0000"
"LITCHFIELD H, 2014, J EATING DISORD","0","0.0000"
"MCLEAN SA, 2014, J EATING DISORD-a","0","0.0000"
"FAIRWEATHER-SCHMIDT AK, 2014, J EATING DISORD","0","0.0000"
"SMITH C, 2014, J EATING DISORD-a","0","0.0000"
"IRVINE D, 2014, J EATING DISORD","0","0.0000"
"CARTER O, 2014, J EATING DISORD","0","0.0000"
"WYNNE L, 2014, J EATING DISORD","0","0.0000"
"LITSTER R, 2014, J EATING DISORD","0","0.0000"
"WITHINGTON T, 2014, J EATING DISORD","0","0.0000"
"FURSLAND A, 2014, J EATING DISORD","0","0.0000"
"WILKSCH S, 2014, J EATING DISORD","0","0.0000"
"JAROSZ E, 2014, J EATING DISORD","0","0.0000"
"CHINN K, 2014, J EATING DISORD","0","0.0000"
"CHIN-A-LOY K, 2014, J EATING DISORD","0","0.0000"
"HUNTER M, 2014, J EATING DISORD","0","0.0000"
"HAY P, 2014, J EATING DISORD","0","0.0000"
"TOUYZ S, 2013, J EATING DISORD","0","0.0000"
"BEINTNER I, 2020, EATING WEIGHT DISORD","0","0.0000"
"NAPOLITANO MA, 2020, EATING WEIGHT DISORD","0","0.0000"
"DE GIUSEPPE R, 2020, EATING WEIGHT DISORD","0","0.0000"
"RAMALHO S, 2020, EATING WEIGHT DISORD","0","0.0000"
"JAITE C, 2020, EATING WEIGHT DISORD","0","0.0000"
"KIDWELL KM, 2020, EATING WEIGHT DISORD","0","0.0000"
"SANFORD-OPATZ L, 2020, EATING WEIGHT DISORD","0","0.0000"
"LATZER Y, 2020, EATING WEIGHT DISORD","0","0.0000"
"YUE L, 2020, EATING WEIGHT DISORD","0","0.0000"
"GONÃ§ALVES S, 2020, EATING WEIGHT DISORD","0","0.0000"
"KESSLER Y, 2020, EATING WEIGHT DISORD","0","0.0000"
"EKUNI D, 2020, EATING WEIGHT DISORD","0","0.0000"
"LETRANCHANT A, 2020, EATING WEIGHT DISORD","0","0.0000"
"BOU KHALIL R, 2020, EATING WEIGHT DISORD","0","0.0000"
"POKRAJAC-BULIAN A, 2020, EATING WEIGHT DISORD","0","0.0000"
"NUMATA N, 2020, EATING WEIGHT DISORD","0","0.0000"
"BIRMINGHAM CL, 2020, EATING WEIGHT DISORD","0","0.0000"
"FRAIWAN M, 2020, EATING WEIGHT DISORD","0","0.0000"
"Ã–ZKAN N, 2020, EATING WEIGHT DISORD","0","0.0000"
"HESSLER-KAUFMANN JB, 2020, EATING WEIGHT DISORD","0","0.0000"
"GODEFROY V, 2020, EATING WEIGHT DISORD","0","0.0000"
"LULÃ© D, 2020, EATING WEIGHT DISORD","0","0.0000"
"LAGHI F, 2020, EATING WEIGHT DISORD","0","0.0000"
"OBERLE CD, 2020, EATING WEIGHT DISORD","0","0.0000"
"PACE CS, 2020, EATING WEIGHT DISORD","0","0.0000"
"MAZOKOPAKIS EE, 2020, EATING WEIGHT DISORD","0","0.0000"
"MANG L, 2020, EATING WEIGHT DISORD","0","0.0000"
"SOARES FLP, 2020, EATING WEIGHT DISORD","0","0.0000"
"NAGATA JM, 2020, EATING WEIGHT DISORD","0","0.0000"
"BARBOSA-MAGALHAES I, 2020, EATING WEIGHT DISORD","0","0.0000"
"ASLANI Z, 2020, EATING WEIGHT DISORD","0","0.0000"
"JÃ¸RGENSEN RM, 2020, EATING WEIGHT DISORD","0","0.0000"
"DE FIGUEIREDO MD, 2020, EATING WEIGHT DISORD","0","0.0000"
"SUN S, 2020, EATING WEIGHT DISORD","0","0.0000"
"YEO D, 2020, EATING WEIGHT DISORD","0","0.0000"
"LAI C, 2020, EATING WEIGHT DISORD","0","0.0000"
"KHODARAHMI M, 2020, EATING WEIGHT DISORD","0","0.0000"
"MARTINS BG, 2020, EATING WEIGHT DISORD","0","0.0000"
"ARTONI P, 2020, EATING WEIGHT DISORD","0","0.0000"
"ABBOTT W, 2020, EATING WEIGHT DISORD","0","0.0000"
"MANTERO V, 2020, EATING WEIGHT DISORD","0","0.0000"
"JOOB B, 2020, EATING WEIGHT DISORD","0","0.0000"
"LEDOUX T, 2020, EATING WEIGHT DISORD","0","0.0000"
"FORLIVESI S, 2020, EATING WEIGHT DISORD","0","0.0000"
"RIENECKE RD, 2020, EATING WEIGHT DISORD","0","0.0000"
"HOWARD LM, 2020, EATING WEIGHT DISORD","0","0.0000"
"MARTINELLI V, 2020, EATING WEIGHT DISORD","0","0.0000"
"ZHANG X, 2020, EATING WEIGHT DISORD","0","0.0000"
"KORNACKA M, 2020, EATING WEIGHT DISORD","0","0.0000"
"VANDERLINDEN J, 2020, EATING WEIGHT DISORD","0","0.0000"
"TINGHINO B, 2020, EATING WEIGHT DISORD","0","0.0000"
"SCARDERA S, 2020, EATING WEIGHT DISORD","0","0.0000"
"CONCEIÃ§Ã£O EM, 2020, EATING WEIGHT DISORD","0","0.0000"
"LIAO J, 2020, EATING WEIGHT DISORD","0","0.0000"
"FRANCO-PAREDES K, 2020, EATING WEIGHT DISORD","0","0.0000"
"BULLOCK AJ, 2020, EATING WEIGHT DISORD","0","0.0000"
"MANZONI GM, 2020, EATING WEIGHT DISORD","0","0.0000"
"HADDAD MR, 2020, EATING WEIGHT DISORD","0","0.0000"
"CZEPCZOR-BERNAT K, 2020, EATING WEIGHT DISORD","0","0.0000"
"FARHANGI MA, 2020, EATING WEIGHT DISORD","0","0.0000"
"PASDAR Y, 2020, EATING WEIGHT DISORD","0","0.0000"
"MALAGOLI C, 2020, EATING WEIGHT DISORD","0","0.0000"
"LOMBARDO C, 2020, EATING WEIGHT DISORD","0","0.0000"
"HAZZARD VM, 2020, EATING WEIGHT DISORD","0","0.0000"
"MCMASTER CM, 2020, EATING WEIGHT DISORD","0","0.0000"
"YANG Y, 2020, EATING WEIGHT DISORD","0","0.0000"
"PRETLOW RA, 2020, EATING WEIGHT DISORD","0","0.0000"
"SRIVASTAVA P, 2020, EATING WEIGHT DISORD","0","0.0000"
"PALAVRAS MA, 2020, EATING WEIGHT DISORD","0","0.0000"
"MAZOKOPAKIS EE, 2020, EATING WEIGHT DISORD-a","0","0.0000"
"STUTTS LA, 2020, EATING WEIGHT DISORD","0","0.0000"
"CHEN G, 2020, EATING WEIGHT DISORD","0","0.0000"
"OBEID N, 2020, EATING WEIGHT DISORD","0","0.0000"
"TROTT M, 2020, EATING WEIGHT DISORD","0","0.0000"
"SMITH KE, 2020, EATING WEIGHT DISORD","0","0.0000"
"NARIMANI M, 2019, EATING WEIGHT DISORD","0","0.0000"
"SHANKLAND R, 2019, EATING WEIGHT DISORD","0","0.0000"
"RUSU A, 2019, EATING WEIGHT DISORD","0","0.0000"
"ÅŽENGÃ¶R G, 2019, EATING WEIGHT DISORD","0","0.0000"
"WONG L, 2019, EATING WEIGHT DISORD","0","0.0000"
"DUNN TM, 2019, EATING WEIGHT DISORD","0","0.0000"
"SIVANATHAN D, 2019, EATING WEIGHT DISORD","0","0.0000"
"ALBASSAM RS, 2019, EATING WEIGHT DISORD","0","0.0000"
"BARROS LM, 2019, EATING WEIGHT DISORD","0","0.0000"
"LEE Y, 2019, EATING WEIGHT DISORD","0","0.0000"
"KROGULSKA A, 2019, EATING WEIGHT DISORD","0","0.0000"
"KINNAIRD E, 2019, EATING WEIGHT DISORD","0","0.0000"
"MARZOLA E, 2019, EATING WEIGHT DISORD","0","0.0000"
"MCDONALD S, 2019, EATING WEIGHT DISORD","0","0.0000"
"FUENTES S, 2019, EATING WEIGHT DISORD","0","0.0000"
"MOLLER S, 2019, EATING WEIGHT DISORD","0","0.0000"
"MATTHEWS A, 2019, EATING WEIGHT DISORD","0","0.0000"
"KING LH, 2019, EATING WEIGHT DISORD","0","0.0000"
"PINTO R, 2019, EATING WEIGHT DISORD","0","0.0000"
"MARQUES C, 2019, EATING WEIGHT DISORD","0","0.0000"
"MENDES AL, 2019, EATING WEIGHT DISORD","0","0.0000"
"ARELLANO-PÃ©REZ OG, 2019, EATING WEIGHT DISORD","0","0.0000"
"PAQUIN HODGE C, 2019, EATING WEIGHT DISORD","0","0.0000"
"PERALTA RL, 2019, EATING WEIGHT DISORD","0","0.0000"
"MANZATO E, 2019, EATING WEIGHT DISORD","0","0.0000"
"LARISON B, 2019, EATING WEIGHT DISORD","0","0.0000"
"PINUS U, 2019, EATING WEIGHT DISORD","0","0.0000"
"SYLVESTER MD, 2019, EATING WEIGHT DISORD","0","0.0000"
"VENCHIARUTTI RL, 2019, EATING WEIGHT DISORD","0","0.0000"
"MELCHIONDA N, 2019, EATING WEIGHT DISORD","0","0.0000"
"YUAN D, 2019, EATING WEIGHT DISORD","0","0.0000"
"POLI A, 2019, EATING WEIGHT DISORD","0","0.0000"
"FRINGS D, 2019, EATING WEIGHT DISORD","0","0.0000"
"JAHRAMI H, 2019, EATING WEIGHT DISORD-a","0","0.0000"
"ONISZCZENKO W, 2019, EATING WEIGHT DISORD","0","0.0000"
"SANTAROSSA S, 2019, EATING WEIGHT DISORD","0","0.0000"
"IACOBELLIS G, 2019, EATING WEIGHT DISORD","0","0.0000"
"GRIGOLON RB, 2019, EATING WEIGHT DISORD","0","0.0000"
"KOLOVOS S, 2019, EATING WEIGHT DISORD","0","0.0000"
"BOSELLO O, 2019, EATING WEIGHT DISORD","0","0.0000"
"BABEAU C, 2019, EATING WEIGHT DISORD","0","0.0000"
"ROMANO KA, 2019, EATING WEIGHT DISORD","0","0.0000"
"BRACALE R, 2019, EATING WEIGHT DISORD","0","0.0000"
"ABDELHADI Z, 2019, EATING WEIGHT DISORD","0","0.0000"
"BARTHELS F, 2019, EATING WEIGHT DISORD","0","0.0000"
"BOILLOT A, 2019, EATING WEIGHT DISORD","0","0.0000"
"KUKK K, 2019, EATING WEIGHT DISORD","0","0.0000"
"TAS D, 2019, EATING WEIGHT DISORD","0","0.0000"
"GONZÃ¡LEZ LM, 2019, EATING WEIGHT DISORD","0","0.0000"
"TÃ³TH-KIRÃ¡LY I, 2019, EATING WEIGHT DISORD","0","0.0000"
"DOTAN A, 2019, EATING WEIGHT DISORD","0","0.0000"
"GILBERT M, 2019, EATING WEIGHT DISORD","0","0.0000"
"CIMOLIN V, 2019, EATING WEIGHT DISORD","0","0.0000"
"CASU G, 2019, EATING WEIGHT DISORD","0","0.0000"
"GORRELL S, 2019, EATING WEIGHT DISORD-a","0","0.0000"
"IDOLAZZI L, 2019, EATING WEIGHT DISORD","0","0.0000"
"MASON TB, 2019, EATING WEIGHT DISORD-a","0","0.0000"
"HARRISON AN, 2019, EATING WEIGHT DISORD","0","0.0000"
"GREVILLE-HARRIS M, 2019, EATING WEIGHT DISORD","0","0.0000"
"IOSSA A, 2019, EATING WEIGHT DISORD","0","0.0000"
"BRACALE R, 2019, EATING WEIGHT DISORD-a","0","0.0000"
"TAYLOR EA, 2019, EATING WEIGHT DISORD","0","0.0000"
"DUFFY ME, 2019, EATING WEIGHT DISORD","0","0.0000"
"FITZSIMMONS-CRAFT EE, 2019, EATING WEIGHT DISORD-a","0","0.0000"
"DAVIES A, 2019, EATING WEIGHT DISORD","0","0.0000"
"GIESSER R, 2019, EATING WEIGHT DISORD","0","0.0000"
"GUENTCHEVA I, 2019, EATING WEIGHT DISORD","0","0.0000"
"CASSIOLI E, 2019, EATING WEIGHT DISORD","0","0.0000"
"MUZI L, 2019, EATING WEIGHT DISORD","0","0.0000"
"BIENVENU T, 2019, EATING WEIGHT DISORD","0","0.0000"
"LARSEN A, 2019, EATING WEIGHT DISORD","0","0.0000"
"CEBOLLA A, 2019, EATING WEIGHT DISORD","0","0.0000"
"LONIGRO A, 2019, EATING WEIGHT DISORD","0","0.0000"
"DARBANDI M, 2019, EATING WEIGHT DISORD","0","0.0000"
"MA R, 2019, EATING WEIGHT DISORD","0","0.0000"
"PERDUE TO, 2019, EATING WEIGHT DISORD","0","0.0000"
"GUERRERO ALZOLA F, 2019, EATING WEIGHT DISORD","0","0.0000"
"PORTALE S, 2019, EATING WEIGHT DISORD","0","0.0000"
"DALLEY SE, 2019, EATING WEIGHT DISORD","0","0.0000"
"MICHAEL ML, 2019, EATING WEIGHT DISORD","0","0.0000"
