"Document","DOI","Year","Local.Citations","Global.Citations"
"SHAFRAN Y, 2013, EATING WEIGHT DISORD","10.1007/s40519-013-0011-5","2013","0","1"
"LAESSLE RG, 2013, EATING WEIGHT DISORD","10.1007/s40519-013-0012-4","2013","0","1"
"CUZZOLARO M, 2013, EATING WEIGHT DISORD","10.1007/s40519-013-0016-0","2013","0","0"
"ROY M, 2013, EATING WEIGHT DISORD","10.1007/s40519-013-0007-1","2013","0","4"
"KAPTEIN EM, 2012, EATING WEIGHT DISORD","10.3275/8631","2012","0","0"
"ASCHETTINO-MANEVITZ DL, 2012, EATING WEIGHT DISORD","10.3275/8756","2012","0","4"
"MEULE A, 2012, EATING WEIGHT DISORD","10.3275/8723","2012","0","13"
"JENNINGS KM, 2012, EATING WEIGHT DISORD","","2012","0","14"
"GUILLAUME S, 2012, EATING WEIGHT DISORD","","2012","0","2"
"SEGURA-GARCÃ­A C, 2012, EATING WEIGHT DISORD-a","10.3275/8271","2012","0","5"
"BUSETTO L, 2012, EATING WEIGHT DISORD","10.3275/8244","2012","0","10"
"ABBATE DAGA G, 2012, EATING WEIGHT DISORD","10.3275/7962","2012","0","7"
"RONDANELLI M, 2012, EATING WEIGHT DISORD","10.3275/8165","2012","0","6"
"TROOP NA, 2012, EATING WEIGHT DISORD","10.1007/BF03325138","2012","0","1"
"LOMBARDO C, 2012, EATING WEIGHT DISORD","10.1007/BF03325335","2012","0","9"
"WHISENHUNT BL, 2012, EATING WEIGHT DISORD","10.1007/BF03325345","2012","0","0"
"QUIRK-BAILLOT D, 2012, EATING WEIGHT DISORD","10.1007/BF03325341","2012","0","1"
"ANTON SD, 2012, EATING WEIGHT DISORD","10.1007/BF03325333","2012","0","16"
"LAESSLE RG, 2012, EATING WEIGHT DISORD","10.1007/BF03325338","2012","0","0"
"TÃºRY F, 2012, EATING WEIGHT DISORD","10.1007/BF03325339","2012","0","1"
"SANSONE RA, 2012, EATING WEIGHT DISORD","10.1007/BF03325336","2012","0","3"
"FOK JS, 2012, EATING WEIGHT DISORD","10.1007/BF03325340","2012","0","11"
"BAHCECI M, 2012, EATING WEIGHT DISORD","10.1007/BF03325331","2012","0","1"
"TOPSAKAL S, 2012, EATING WEIGHT DISORD","10.1007/BF03325329","2012","0","17"
"YILMAZ Z, 2012, EATING WEIGHT DISORD","10.1007/BF03325324","2012","0","2"
"BEZ Y, 2011, EATING WEIGHT DISORD","10.3275/8103","2011","0","3"
"KHALIL RB, 2011, EATING WEIGHT DISORD","","2011","0","6"
"KINZL JF, 2011, EATING WEIGHT DISORD","10.3275/7752","2011","0","11"
"GENTILE MG, 2011, EATING WEIGHT DISORD","","2011","0","1"
"SILVA JR, 2011, EATING WEIGHT DISORD","10.3275/7310","2011","0","5"
"FALLAHI KHOSHKNAB M, 2011, EATING WEIGHT DISORD","","2011","0","1"
"KOBALL AM, 2011, EATING WEIGHT DISORD","","2011","0","11"
"VAN DEN EYNDE F, 2011, EATING WEIGHT DISORD","","2011","0","7"
"HOPWOOD CJ, 2011, EATING WEIGHT DISORD","","2011","0","2"
"HANSSON LM, 2011, EATING WEIGHT DISORD","","2011","0","6"
"PIOMELLI D, 2011, EATING WEIGHT DISORD","","2011","0","0"
"KACHANI AT, 2011, EATING WEIGHT DISORD","10.1007/BF03327477","2011","0","10"
"ALLEGRI C, 2011, EATING WEIGHT DISORD","10.1007/BF03327465","2011","0","2"
"ZACHRISSON HD, 2011, EATING WEIGHT DISORD","10.1007/BF03327474","2011","0","1"
"YÃ¼CEL B, 2011, EATING WEIGHT DISORD","10.1007/BF03327472","2011","0","0"
"SHONEYE C, 2011, EATING WEIGHT DISORD","10.1007/BF03325135","2011","0","4"
"SIERVO M, 2011, EATING WEIGHT DISORD","10.1007/BF03325128","2011","0","7"
"SCHULZ S, 2011, EATING WEIGHT DISORD","10.1007/BF03325134","2011","0","6"
"THOMAS JJ, 2011, EATING WEIGHT DISORD","10.1007/BF03325136","2011","0","13"
"PETERSON CB, 2011, EATING WEIGHT DISORD","10.1007/BF03325133","2011","0","2"
"ASPEN V, 2011, EATING WEIGHT DISORD","10.1007/BF03325132","2011","0","1"
"NAPOLI A, 2011, EATING WEIGHT DISORD","10.1007/BF03325322","2011","0","4"
"HARSHBARGER JL, 2011, EATING WEIGHT DISORD","10.1007/BF03325319","2011","0","1"
"FAY K, 2011, EATING WEIGHT DISORD","10.1007/BF03325315","2011","0","6"
"JENKINS PE, 2011, EATING WEIGHT DISORD","10.1007/BF03327523","2011","0","6"
"VON RANSON KM, 2011, EATING WEIGHT DISORD","10.1007/BF03327524","2011","0","3"
"STUNKARD A, 2010, EATING WEIGHT DISORD","","2010","0","0"
"MUELLER TF, 2010, EATING WEIGHT DISORD","10.3275/6888","2010","0","4"
"OLSSON GM, 2010, EATING WEIGHT DISORD","10.3275/6983","2010","0","7"
"ARATA A, 2010, EATING WEIGHT DISORD","10.1007/BF03325301","2010","0","3"
"GAGNON-GIROUARD M-P, 2010, EATING WEIGHT DISORD","10.1007/BF03325305","2010","0","4"
"GRUJIC V, 2010, EATING WEIGHT DISORD","10.1007/BF03325278","2010","0","7"
"MATEOS-PADORNO C, 2010, EATING WEIGHT DISORD","10.1007/BF03325298","2010","0","2"
"ARIKIAN A, 2010, EATING WEIGHT DISORD","10.1007/BF03325295","2010","0","4"
"FABRIZI A, 2010, EATING WEIGHT DISORD","10.1007/BF03325294","2010","0","2"
"SIMON KURPAD S, 2010, EATING WEIGHT DISORD","10.1007/BF03325293","2010","0","2"
"VARTANIAN LR, 2010, EATING WEIGHT DISORD","10.1007/BF03325299","2010","0","25"
"STUNKARD A, 2010, EATING WEIGHT DISORD-a","10.1007/BF03325274","2010","0","10"
"FRANZONI E, 2010, EATING WEIGHT DISORD","10.1007/BF03325283","2010","0","0"
"TIMKO CA, 2010, EATING WEIGHT DISORD","10.1007/BF03325286","2010","0","6"
"VANDEREYCKEN W, 2010, EATING WEIGHT DISORD","10.1007/BF03325287","2010","0","2"
"GIDDINGS TD, 2010, EATING WEIGHT DISORD","10.1007/BF03325288","2010","0","1"
"ROY M, 2010, EATING WEIGHT DISORD","10.1007/BF03325289","2010","0","11"
"MERRILL RM, 2010, EATING WEIGHT DISORD","10.1007/BF03325280","2010","0","12"
"SPANN N, 2010, EATING WEIGHT DISORD","10.1007/BF03325285","2010","0","3"
"CESCHIN L, 2010, EATING WEIGHT DISORD","10.1007/BF03325290","2010","0","5"
"DONINI LM, 2010, EAT WEIGHT DISORD","","2010","0","37"
"DONINI ML, 2009, EATING WEIGHT DISORD","","2009","0","0"
"CUZZOLARO M, 2009, EATING WEIGHT DISORD","","2009","0","0"
"BUSETTO L, 2009, EATING WEIGHT DISORD","","2009","0","14"
"CLAVE-BRULE M, 2009, EATING WEIGHT DISORD","10.1007/BF03354620","2009","0","8"
"INNIS SM, 2009, EATING WEIGHT DISORD","10.1007/BF03325115","2009","0","4"
"PRETORIUS N, 2009, EATING WEIGHT DISORD","10.1007/BF03325125","2009","0","4"
"KHAZAAL Y, 2009, EATING WEIGHT DISORD","10.1007/BF03325121","2009","0","0"
"MANCILLA-DÃ­AZ JM, 2009, EATING WEIGHT DISORD","10.1007/BF03325113","2009","0","7"
"WOROBEY J, 2009, EATING WEIGHT DISORD","10.1007/BF03325120","2009","0","1"
"HERBOZO S, 2009, EATING WEIGHT DISORD","10.1007/BF03325123","2009","0","5"
"ARELLANO JR, 2009, EATING WEIGHT DISORD","10.1007/BF03327799","2009","0","2"
"SUNG J, 2009, EATING WEIGHT DISORD","10.1007/BF03327806","2009","0","29"
"MASCOLA AJ, 2009, EATING WEIGHT DISORD","10.1007/BF03327814","2009","0","3"
"HORSBURGH-MCLEOD G, 2009, EATING WEIGHT DISORD","10.1007/BF03327815","2009","0","4"
"WRIGHT A, 2009, EATING WEIGHT DISORD","10.1007/BF03327813","2009","0","9"
"GHANIZADEH A, 2009, EATING WEIGHT DISORD","10.1007/BF03327811","2009","0","10"
"MANSOUR AA, 2009, EATING WEIGHT DISORD","10.1007/BF03327800","2009","0","19"
"DARBY A, 2009, EATING WEIGHT DISORD","10.1007/BF03327790","2009","0","2"
"JÃ¡UREGUI LOBERA I, 2009, EATING WEIGHT DISORD","10.1007/BF03354624","2009","0","7"
"ZHONG WF, 2008, EATING WEIGHT DISORD","","2008","0","1"
"COCCURELLO R, 2008, EATING WEIGHT DISORD","","2008","0","12"
"BARTOLOMUCCI A, 2008, EATING WEIGHT DISORD-a","","2008","0","0"
"YANOVER T, 2008, EATING WEIGHT DISORD","","2008","0","0"
"KOVALCHIK S, 2008, EATING WEIGHT DISORD","10.1007/BF03327504","2008","0","0"
"HAUSER JC, 2008, EATING WEIGHT DISORD","10.1007/BF03327511","2008","0","0"
"SEIFERT AL, 2008, EATING WEIGHT DISORD","10.1007/BF03327510","2008","0","4"
"YANOVER T, 2008, EATING WEIGHT DISORD-a","10.1007/BF03327612","2008","0","4"
"HAMBROOK D, 2008, EATING WEIGHT DISORD","10.1007/BF03327614","2008","0","2"
"HALVARSSON-EDLUND K, 2008, EATING WEIGHT DISORD","10.1007/BF03327608","2008","0","6"
"HADDOCK CK, 2008, EATING WEIGHT DISORD","10.1007/BF03327609","2008","0","15"
"SIERVO M, 2008, EATING WEIGHT DISORD","10.1007/BF03327788","2008","0","3"
"PERDEREAU F, 2008, EATING WEIGHT DISORD","10.1007/BF03327779","2008","0","13"
"COLLINGS AS, 2008, EATING WEIGHT DISORD","10.1007/BF03327783","2008","0","3"
"RUBIO IGS, 2008, EATING WEIGHT DISORD","10.1007/BF03327784","2008","0","9"
"PEÃ±AS-LLEDÃ³ EM, 2007, EATING WEIGHT DISORD","","2007","0","15"
"POKRAJAC-BULIAN A, 2007, EATING WEIGHT DISORD","10.1007/BF03327601","2007","0","3"
"BERGSTRÃ¶M H, 2007, EATING WEIGHT DISORD","10.1007/BF03327603","2007","0","2"
"BIRMINGHAM CL, 2007, EATING WEIGHT DISORD-a","","2007","0","1"
"OUWENS MA, 2007, EATING WEIGHT DISORD","10.1007/BF03327644","2007","0","0"
"BIRMINGHAM CL, 2007, EATING WEIGHT DISORD-a-b","10.1007/BF03327642","2007","0","3"
"URDAPILLETA I, 2007, EATING WEIGHT DISORD","10.1007/BF03327641","2007","0","18"
"TIERNEY S, 2007, EATING WEIGHT DISORD","10.1007/BF03327587","2007","0","4"
"JONES CJ, 2007, EATING WEIGHT DISORD","10.1007/BF03327589","2007","0","5"
"VELLUZZI F, 2007, EATING WEIGHT DISORD","10.1007/BF03327590","2007","0","3"
"BOSCHI V, 2007, EATING WEIGHT DISORD","10.1007/BF03327588","2007","0","2"
"MOREIRA RO, 2007, EATING WEIGHT DISORD","10.1007/BF03327770","2007","0","24"
"CZUPRYNIAK L, 2007, EATING WEIGHT DISORD","10.1007/BF03327775","2007","0","4"
"GABRIEL A, 2007, EATING WEIGHT DISORD","10.1007/BF03327772","2007","0","7"
"HILBERT A, 2007, EATING WEIGHT DISORD","10.1007/BF03327769","2007","0","2"
"ASKELÃ¶F M, 2007, EATING WEIGHT DISORD","10.1007/BF03327771","2007","0","1"
"DEL COLLE S, 2006, EATING WEIGHT DISORD","","2006","0","0"
"GODART N, 2006, EATING WEIGHT DISORD","10.1007/BF03327570","2006","0","6"
"FISAK JR B, 2006, EATING WEIGHT DISORD","10.1007/BF03327571","2006","0","12"
"GURSOY A, 2006, EATING WEIGHT DISORD","10.1007/BF03327578","2006","0","14"
"KOTLER LA, 2006, EATING WEIGHT DISORD","10.1007/BF03327576","2006","0","8"
"VOLERY M, 2006, EATING WEIGHT DISORD","10.1007/BF03327577","2006","0","17"
"ELGIN J, 2006, EATING WEIGHT DISORD","10.1007/BF03327565","2006","0","28"
"BIRMINGHAM CL, 2006, EATING WEIGHT DISORD-a","10.1007/BF03327563","2006","0","9"
"PIETERS G, 2006, EATING WEIGHT DISORD","10.1007/BF03327561","2006","0","3"
"GUNSTAD J, 2006, EATING WEIGHT DISORD","10.1007/BF03327747","2006","0","133"
"KHAZAAL Y, 2006, EATING WEIGHT DISORD","10.1007/BF03327749","2006","0","3"
"MURO-SANS P, 2006, EATING WEIGHT DISORD","10.1007/BF03327759","2006","0","6"
"JONES CJ, 2006, EATING WEIGHT DISORD","10.1007/BF03327765","2006","0","0"
"SIERVO M, 2006, EATING WEIGHT DISORD","10.1007/BF03327758","2006","0","36"
"PINKSTON MM, 2006, EATING WEIGHT DISORD","10.1007/BF03327751","2006","0","5"
"PUDDICOMBE DM, 2006, EATING WEIGHT DISORD","10.1007/BF03327764","2006","0","2"
"BIRMINGHAM CL, 2005, EATING WEIGHT DISORD","","2005","0","1"
"SELF RB, 2005, EATING WEIGHT DISORD","","2005","0","11"
"DIGIOACCHINO DEBATE R, 2005, EATING WEIGHT DISORD","","2005","0","20"
"TROTTIER K, 2005, EATING WEIGHT DISORD","10.1007/BF03327493","2005","0","1"
"UEHARA T, 2005, EATING WEIGHT DISORD","10.1007/BF03327494","2005","0","9"
"EVANS L, 2005, EATING WEIGHT DISORD","10.1007/BF03327491","2005","0","4"
"RYBAKOWSKI F, 2005, EATING WEIGHT DISORD","10.1007/BF03327538","2005","0","2"
"STAHRE L, 2005, EATING WEIGHT DISORD","10.1007/BF03353419","2005","0","26"
"FACCHINI M, 2005, EATING WEIGHT DISORD","10.1007/BF03353412","2005","0","3"
"CHILIBECK PD, 2005, EATING WEIGHT DISORD","10.1007/BF03353414","2005","0","2"
"THOMMASEN HV, 2005, EATING WEIGHT DISORD","10.1007/BF03327553","2005","0","12"
"HIROKANE K, 2005, EATING WEIGHT DISORD","10.1007/BF03327543","2005","0","4"
"MOLINARI E, 2005, EATING WEIGHT DISORD","10.1007/BF03327542","2005","0","16"
"WILLIAMSON DA, 2005, EATING WEIGHT DISORD-a","10.1007/BF03327547","2005","0","95"
"CONTALDO F, 2005, EATING WEIGHT DISORD","10.1007/BF03327549","2005","0","0"
"CLARE M, 2005, EATING WEIGHT DISORD","10.1007/BF03327552","2005","0","2"
"NEWTON M, 2005, EATING WEIGHT DISORD","10.1007/BF03327541","2005","0","0"
"CERRELLI F, 2005, EATING WEIGHT DISORD","10.1007/BF03327492","2005","0","12"
"PECOVÃ¡ V, 2005, EATING WEIGHT DISORD","10.1007/BF03327529","2005","0","2"
"TORO J, 2005, EATING WEIGHT DISORD","10.1007/BF03327530","2005","0","22"
"HLYNSKY J, 2005, EAT WEIGHT DISORD","","2005","0","16"
"BLAINE BE, 2005, EAT WEIGHT DISORD","","2005","0","1"
"ZOCCALI R, 2004, EATING WEIGHT DISORD","10.1007/BF03325080","2004","0","4"
"BIRMINGHAM CL, 2004, EATING WEIGHT DISORD","10.1007/BF03325087","2004","0","2"
"JONAT LM, 2004, EATING WEIGHT DISORD","10.1007/BF03325083","2004","0","19"
"ALFANO V, 2004, EATING WEIGHT DISORD","10.1007/BF03325061","2004","0","2"
"KEERY H, 2004, EATING WEIGHT DISORD","10.1007/BF03325046","2004","0","23"
"WILLIAMSON DA, 2004, EATING WEIGHT DISORD","10.1007/BF03325041","2004","0","71"
"GOLAY A, 2004, EATING WEIGHT DISORD","10.1007/BF03325042","2004","0","25"
"DALLE GRAVE R, 2004, EATING WEIGHT DISORD","10.1007/BF03325048","2004","0","5"
"RAMACCIOTTI CE, 2004, EATING WEIGHT DISORD","10.1007/BF03325054","2004","0","9"
"ANDERSON DA, 2004, EAT WEIGHT DISORD","10.1007/BF03325075","2004","0","18"
"ELAL G, 2004, EAT WEIGHT DISORD","10.1007/BF03325063","2004","0","4"
"OSTOVICH JM, 2004, EAT WEIGHT DISORD","10.1007/BF03325065","2004","0","4"
"MINNITI A, 2004, EAT WEIGHT DISORD","10.1007/BF03325068","2004","0","7"
"MANCILLA-DÃ­AZ JM, 2003, EATING WEIGHT DISORD","10.1007/BF03325025","2003","0","3"
"SU JC, 2003, EATING WEIGHT DISORD","10.1007/BF03325031","2003","0","1"
"GEIER AB, 2003, EATING WEIGHT DISORD","10.1007/BF03325027","2003","0","37"
"CILLI M, 2003, EATING WEIGHT DISORD","10.1007/BF03325033","2003","0","7"
"BATUR S, 2003, EATING WEIGHT DISORD","10.1007/BF03325024","2003","0","4"
"WHISENHUNT BL, 2003, EATING WEIGHT DISORD","10.1007/BF03325000","2003","0","5"
"SARTORIO A, 2003, EATING WEIGHT DISORD","10.1007/BF03324999","2003","0","8"
"GUISADO JA, 2003, EATING WEIGHT DISORD","10.1007/BF03325010","2003","0","0"
"GRYLLI V, 2003, EATING WEIGHT DISORD","10.1007/BF03324996","2003","0","8"
"ALAGNA S, 2003, EATING WEIGHT DISORD","10.1007/BF03324997","2003","0","15"
"CUGINI P, 2003, EATING WEIGHT DISORD","10.1007/BF03325001","2003","0","0"
"BIRMINGHAM CL, 2003, EATING WEIGHT DISORD","10.1007/BF03325006","2003","0","3"
"CASTELLANI W, 2003, EATING WEIGHT DISORD","10.1007/BF03324983","2003","0","13"
"CAVAGGIONI G, 2003, EATING WEIGHT DISORD","10.1007/BF03324990","2003","0","5"
"HELLZÃ©N M, 2003, EATING WEIGHT DISORD","10.1007/BF03324989","2003","0","1"
"SU JC, 2003, EATING WEIGHT DISORD-a","10.1007/BF03324993","2003","0","12"
"CAMERINI G, 2003, EATING WEIGHT DISORD","10.1007/BF03324994","2003","0","1"
"SARTORIO A, 2003, EATING WEIGHT DISORD-a","10.1007/BF03324987","2003","0","16"
"MOLINARI E, 2003, EATING WEIGHT DISORD","10.1007/BF03325023","2003","0","0"
"KRÅ¡EK M, 2003, EAT WEIGHT DISORD","10.1007/BF03325015","2003","0","25"
"CUGINI P, 2003, EAT WEIGHT DISORD","10.1007/BF03325013","2003","0","1"
"DIGIOACCHINO DEBATE R, 2002, EATING WEIGHT DISORD","10.1007/BF03324979","2002","0","3"
"DE FILIPPO E, 2002, EATING WEIGHT DISORD","10.1007/BF03324982","2002","0","0"
"MCLAREN L, 2002, EATING WEIGHT DISORD","10.1007/BF03324980","2002","0","6"
"ENGELSEN BK, 2002, EATING WEIGHT DISORD","10.1007/BF03327464","2002","0","0"
"MATUSEVICH D, 2002, EATING WEIGHT DISORD","10.1007/BF03327457","2002","0","4"
"BOSELLO O, 2002, EATING WEIGHT DISORD","10.1007/BF03327453","2002","0","10"
"CUGINI P, 2002, EATING WEIGHT DISORD","10.1007/BF03327455","2002","0","0"
"MAZZETTI DI PIETRALATA G, 2002, EATING WEIGHT DISORD","","2002","0","3"
"STEINBRENNER B, 2002, EATING WEIGHT DISORD","","2002","0","3"
"RIPA DI MEANA G, 2002, EATING WEIGHT DISORD","10.1007/BF03354440","2002","0","0"
"BOSELLO O, 2002, EATING WEIGHT DISORD-a","10.1007/BF03354434","2002","0","0"
"POSTON WSC, 2002, EATING WEIGHT DISORD","10.1007/BF03354432","2002","0","13"
"WANG SWJ, 2002, EATING WEIGHT DISORD","10.1007/BF03354426","2002","0","12"
"WOLFERT A, 2002, EATING WEIGHT DISORD","10.1007/BF03354433","2002","0","10"
"WELTMAN A, 2001, EATING WEIGHT DISORD","","2001","0","29"
"O'RAHILLY S, 2001, EATING WEIGHT DISORD","","2001","0","4"
"POMBO M, 2001, EATING WEIGHT DISORD","","2001","0","9"
"CINTI S, 2001, EATING WEIGHT DISORD","","2001","0","9"
"VETTOR R, 2001, EATING WEIGHT DISORD","","2001","0","0"
"GUY-GRAND B, 2001, EATING WEIGHT DISORD","","2001","0","0"
"PASQUALI R, 2001, EATING WEIGHT DISORD","","2001","0","10"
"VETTOR R, 2001, EATING WEIGHT DISORD-a","","2001","0","0"
"RIPA DI MEANA G, 2001, EATING WEIGHT DISORD","","2001","0","0"
"SJÃ¶STRÃ¶M L, 2001, EATING WEIGHT DISORD","10.1007/BF03339768","2001","0","0"
"FATATI G, 2001, EATING WEIGHT DISORD","10.1007/BF03339745","2001","0","0"
"COTA D, 2001, EATING WEIGHT DISORD","10.1007/BF03339744","2001","0","6"
"HAUG NA, 2001, EATING WEIGHT DISORD","10.1007/BF03339762","2001","0","26"
"CHABROL H, 2001, EATING WEIGHT DISORD","10.1007/BF03339767","2001","0","0"
"PEÃ±AS LLEDÃ³ E, 2001, EATING WEIGHT DISORD","10.1007/BF03339764","2001","0","0"
"BARRY DT, 2001, EATING WEIGHT DISORD","10.1007/BF03339757","2001","0","27"
"DORIAN BJ, 2001, EATING WEIGHT DISORD","","2001","0","2"
"DAVIDSON H, 2001, EATING WEIGHT DISORD","10.1007/BF03339750","2001","0","10"
"GRIEVE FG, 2000, EATING WEIGHT DISORD","","2000","0","7"
"ENGELSEN BK, 2000, EATING WEIGHT DISORD","10.1007/BF03327483","2000","0","5"
"CUZZOLARO M, 2000, EATING WEIGHT DISORD","","2000","0","0"
"IORIO D, 2000, EATING WEIGHT DISORD","10.1007/BF03354447","2000","0","3"
"BEAN P, 2000, EATING WEIGHT DISORD","10.1007/BF03354446","2000","0","5"
"GARCÃ­A DE AMUSQUIBAR AM, 2000, EATING WEIGHT DISORD","10.1007/BF03354450","2000","0","2"
"ZILLI F, 2000, EATING WEIGHT DISORD","10.1007/BF03354449","2000","0","9"
"FALOIA E, 2000, EATING WEIGHT DISORD","10.1007/BF03354441","2000","0","13"
"MAGNATI G, 2000, EATING WEIGHT DISORD","10.1007/BF03354442","2000","0","4"
"CINTI S, 2000, EATING WEIGHT DISORD","10.1007/BF03354443","2000","0","33"
"CSÃ¡BI G, 2000, EATING WEIGHT DISORD","10.1007/BF03353437","2000","0","27"
"ZUCCHI T, 2000, EATING WEIGHT DISORD","10.1007/BF03353435","2000","0","4"
"RIVA G, 2000, EATING WEIGHT DISORD","10.1007/BF03353436","2000","0","8"
"[NO AUTHOR NAME AVAILABLE], 1999, EAT WEIGHT DISORD","","1999","0","0"
"BARBARO D, 1999, EATING WEIGHT DISORD","10.1007/BF03339729","1999","0","0"
"MASHEB RM, 1999, EATING WEIGHT DISORD","10.1007/BF03339735","1999","0","26"
"DONDURAN S, 1999, EATING WEIGHT DISORD","10.1007/BF03339738","1999","0","2"
"MANGWETH B, 1999, EATING WEIGHT DISORD","10.1007/BF03339731","1999","0","1"
"CUGINI P, 1999, EATING WEIGHT DISORD","10.1007/BF03339726","1999","0","15"
"STEINBAUER M, 1999, EATING WEIGHT DISORD","10.1007/BF03339724","1999","0","1"
"CUGINI P, 1999, EATING WEIGHT DISORD-a","10.1007/BF03339722","1999","0","7"
"RUÇµÇµIERO GM, 1999, EATING WEIGHT DISORD","10.1007/BF03339723","1999","0","4"
"CAVAGGIONI G, 1999, EATING WEIGHT DISORD","10.1007/BF03341583","1999","0","0"
"RIVA G, 1998, EATING WEIGHT DISORD","10.1007/BF03340002","1998","0","16"
"Ã–ZGEN AG, 1998, EATING WEIGHT DISORD","10.1007/BF03340001","1998","0","15"
"YARYURA-TOBIAS JA, 1998, EAT WEIGHT DISORD","10.1007/BF03340005","1998","0","3"
"CUGINI P, 1998, EAT WEIGHT DISORD","10.1007/BF03340006","1998","0","11"
"MAGGIA G, 1998, EAT WEIGHT DISORD","10.1007/BF03339996","1998","0","4"
"FASSINO S, 1998, EAT WEIGHT DISORD","10.1007/BF03339989","1998","0","2"
"BIRMINGHAM CL, 1998, EAT WEIGHT DISORD","10.1007/BF03339993","1998","0","0"
"GIANOTTI L, 1998, EAT WEIGHT DISORD","10.1007/BF03339990","1998","0","21"
"BAYRAKTAR F, 1998, EAT WEIGHT DISORD","10.1007/BF03339987","1998","0","5"
"DI PENTIMA L, 1998, EAT WEIGHT DISORD","10.1007/BF03339983","1998","0","14"
"GAMBINOTTI G, 1998, EAT WEIGHT DISORD","10.1007/BF03339986","1998","0","5"
"BROWN TA, 2020, EATING DISORD","10.1080/10640266.2020.1728204","2020","0","0"
"KAMODY RC, 2020, EATING DISORD","10.1080/10640266.2020.1731055","2020","0","1"
"BEN-PORATH D, 2020, EATING DISORD","10.1080/10640266.2020.1723371","2020","0","1"
"ANDERSON LK, 2020, EATING DISORD","10.1080/10640266.2020.1723344","2020","0","0"
"MURRAY SB, 2020, EATING DISORD","10.1080/10640266.2020.1723373","2020","0","0"
"LEVINE MP, 2020, EATING DISORD","10.1080/10640266.2020.1719342","2020","0","0"
"FJERMESTAD KW, 2020, EATING DISORD","10.1080/10640266.2019.1573046","2020","0","1"
"MURPHY K, 2020, EATING DISORD","10.1080/10640266.2018.1560239","2020","0","0"
"PETERSON CM, 2020, EATING DISORD","10.1080/10640266.2019.1568101","2020","0","3"
"LENTON-BRYM T, 2020, EATING DISORD","10.1080/10640266.2018.1560853","2020","0","0"
"KUIPERS GS, 2020, EATING DISORD","10.1080/10640266.2020.1738129","2020","0","0"
"COX AE, 2020, EATING DISORD","10.1080/10640266.2020.1740911","2020","0","0"
"LAWSON JL, 2020, EATING DISORD","10.1080/10640266.2020.1731920","2020","0","0"
"BRENNAN MA, 2020, EATING DISORD","10.1080/10640266.2020.1731921","2020","0","0"
"HOMAN KJ, 2020, EATING DISORD","10.1080/10640266.2020.1734410","2020","0","0"
"COX AE, 2020, EATING DISORD-a","10.1080/10640266.2020.1738909","2020","0","0"
"WEBB JB, 2020, EATING DISORD","10.1080/10640266.2020.1712636","2020","0","0"
"BRUN I, 2020, EATING DISORD","10.1080/10640266.2020.1712635","2020","0","0"
"JENNINGS AF, 2020, EATING DISORD","10.1080/10640266.2020.1712634","2020","0","0"
"NAGATA JM, 2020, EATING DISORD","10.1080/10640266.2020.1712637","2020","0","0"
"MIDDLEMASS KM, 2020, EATING DISORD","10.1080/10640266.2020.1723343","2020","0","0"
"LIN L, 2019, EATING DISORD","10.1080/10640266.2018.1560851","2019","0","0"
"BAKLAND M, 2019, EATING DISORD","10.1080/10640266.2018.1560847","2019","0","2"
"MARCO JH, 2019, EATING DISORD","10.1080/10640266.2018.1560852","2019","0","1"
"SMITH JM, 2019, EATING DISORD","10.1080/10640266.2018.1560850","2019","0","0"
"KIMBER M, 2019, EATING DISORD","10.1080/10640266.2018.1542888","2019","0","0"
"DALLE GRAVE R, 2019, EATING DISORD","10.1080/10640266.2018.1528084","2019","0","0"
"HAYES NA, 2019, EATING DISORD","10.1080/10640266.2018.1512302","2019","0","1"
"ANDERSON LK, 2019, EATING DISORD","10.1080/10640266.2019.1574278","2019","0","0"
"MURRAY SB, 2019, EATING DISORD","10.1080/10640266.2019.1567155","2019","0","3"
"REILLY EE, 2019, EATING DISORD","10.1080/10640266.2019.1695453","2019","0","0"
"LIMBURG K, 2019, EATING DISORD","10.1080/10640266.2019.1677130","2019","0","0"
"BERGMEIER HJ, 2019, EATING DISORD","10.1080/10640266.2019.1701351","2019","0","0"
"GELLER J, 2019, EATING DISORD","10.1080/10640266.2019.1695452","2019","0","0"
"DUNNE JP, 2019, EATING DISORD","10.1080/10640266.2019.1688009","2019","0","0"
"KRAMER R, 2019, EATING DISORD","10.1080/10640266.2019.1688007","2019","0","0"
"AOUAD P, 2019, EATING DISORD","10.1080/10640266.2019.1695449","2019","0","0"
"MEHAK A, 2019, EATING DISORD","10.1080/10640266.2019.1695451","2019","0","0"
"NILSEN J-V, 2019, EATING DISORD","10.1080/10640266.2019.1656469","2019","0","0"
"LEBOW J, 2019, EATING DISORD","10.1080/10640266.2019.1656468","2019","0","1"
"WANG SB, 2019, EATING DISORD","10.1080/10640266.2019.1656470","2019","0","0"
"PACANOWSKI CR, 2019, EATING DISORD","10.1080/10640266.2019.1656467","2019","0","1"
"BANNATYNE AJ, 2019, EATING DISORD","10.1080/10640266.2019.1663478","2019","0","0"
"HINEY-SAUNDERS K, 2019, EATING DISORD","10.1080/10640266.2019.1656460","2019","0","0"
"MEULE A, 2019, EATING DISORD","10.1080/10640266.2019.1678981","2019","0","0"
"DENNHAG I, 2019, EATING DISORD","10.1080/10640266.2019.1678980","2019","0","0"
